@relation whatever

@attribute age numeric
@attribute income numeric


@data
37 , 26707.5 
56 , 34020.5 
52 , 49175.7 
22 , 19726.3 
35 , 24346.6 
34 , 26999.4 
67 , 41558.1 
58 , 56340.3 
40 , 37558.5 
41 , 30099.3 
43 , 15254.8 
63 , 36086.1 
22 , 17655.0 
60 , 56658.9 
65 , 37706.5 
48 , 18516.0 
38 , 29622.0 
49 , 32669.9 
20 , 18275.5 
48 , 34410.0 
38 , 34866.9 
41 , 21796.6 
67 , 63130.1 
39 , 14996.4 
64 , 49024.9 
41 , 16249.8 
55 , 36192.1 
52 , 17839.9 
30 , 18802.4 
52 , 48720.3 
26 , 14585.9 
26 , 20819.0 
46 , 26077.8 
46 , 41627.1 
52 , 16977.3 
37 , 19012.8 
22 , 12764.8 
18 , 14388.6 
63 , 59409.1 
25 , 14960.2 
67 , 39666.6 
27 , 20771.9 
61 , 24474.1 
58 , 33123.7 
22 , 14433.4 
28 , 13175.5 
23 , 9824.37 
27 , 17610.3 
27 , 15156.2 
40 , 31774.1 
39 , 31693.5 
35 , 28598.7 
37 , 26261.7 
47 , 42124.1 
42 , 39308.7 
67 , 43530.0 
57 , 49874.4 
47 , 27434.8 
67 , 50474.6 
56 , 24888.2 
37 , 28021.6 
27 , 12279.5 
59 , 30189.4 
31 , 28969.4 
31 , 14058.5 
32 , 30404.3 
57 , 41438.2 
49 , 16711.3 
65 , 52255.9 
22 , 17866.9 
26 , 18067.5 
23 , 12823.7 
26 , 11299.3 
59 , 56031.1 
67 , 35263.5 
34 , 19968.1 
50 , 27825.5 
46 , 37773.9 
23 , 7606.25 
26 , 21384.4 
40 , 20347.0 
36 , 21332.3 
65 , 57671.7 
45 , 36057.8 
23 , 14290.5 
42 , 17882.9 
21 , 10629.1 
62 , 24262.8 
49 , 26097.9 
28 , 23371.0 
38 , 21495.6 
36 , 12166.9 
22 , 17180.2 
40 , 28882.3 
40 , 21612.2 
60 , 46358.4 
23 , 19166.0 
21 , 17921.8 
58 , 33229.0 
48 , 30396.1 
63 , 34625.2 
20 , 16672.8 
67 , 60747.5 
62 , 56394.3 
36 , 13236.4 
31 , 28409.4 
42 , 27056.5 
18 , 9362.58 
46 , 28702.7 
25 , 22366.1 
65 , 24477.5 
40 , 36972.4 
32 , 22327.8 
18 , 15610.2 
64 , 54314.5 
43 , 39175.8 
22 , 13739.0 
25 , 9485.84 
39 , 24675.7 
58 , 28253.6 
33 , 14136.5 
52 , 37162.1 
23 , 13519.2 
44 , 39253.6 
51 , 46323.8 
26 , 20950.7 
42 , 22495.7 
34 , 32548.9 
54 , 24583.4 
18 , 8639.24 
47 , 17139.5 
24 , 13667.7 
19 , 8162.42 
37 , 15349.6 
45 , 29231.4 
49 , 41462.3 
67 , 57398.1 
35 , 11520.8 
63 , 52117.3 
38 , 26281.4 
48 , 25683.4 
28 , 11920.7 
46 , 30658.7 
66 , 36646.4 
61 , 30760.4 
18 , 16109.9 
54 , 18036.7 
45 , 42628.3 
60 , 22110.1 
45 , 37689.1 
31 , 23171.8 
39 , 21951.3 
53 , 38103.4 
35 , 22882.9 
25 , 11043.7 
32 , 24027.6 
36 , 28495.1 
24 , 9465.21 
39 , 34852.3 
24 , 21268.4 
57 , 50849.2 
27 , 18555.9 
66 , 52769.9 
18 , 11601.4 
33 , 29541.7 
48 , 17861.0 
23 , 21042.0 
44 , 26688.1 
39 , 26900.6 
65 , 38080.9 
60 , 37554.1 
20 , 18184.6 
45 , 28864.9 
66 , 48346.1 
64 , 53104.3 
51 , 19416.8 
34 , 23638.1 
65 , 42378.2 
50 , 39745.3 
66 , 45189.8 
63 , 37930.9 
53 , 24042.0 
33 , 31207.1 
38 , 24424.3 
56 , 24607.8 
48 , 43057.0 
49 , 30198.5 
54 , 50186.1 
41 , 22916.1 
19 , 9592.73 
52 , 34253.6 
52 , 22792.3 
64 , 51620.8 
56 , 19918.9 
56 , 29625.1 
19 , 12549.0 
56 , 51299.3 
27 , 17364.8 
59 , 29866.9 
56 , 47750.2 
21 , 11281.5 
64 , 34073.8 
62 , 46870.4 
44 , 38453.7 
24 , 7756.36 
52 , 28413.8 
67 , 47198.6 
41 , 20866.3 
58 , 33204.3 
40 , 24823.5 
19 , 17986.8 
20 , 9909.82 
56 , 26542.8 
46 , 32583.5 
30 , 14606.6 
40 , 34836.8 
36 , 26920.8 
57 , 38248.3 
49 , 15689.1 
61 , 30157.7 
29 , 14642.2 
48 , 15933.3 
56 , 44288.3 
40 , 22197.1 
58 , 38248.3 
60 , 22053.2 
58 , 25468.5 
67 , 23485.9 
40 , 25768.6 
48 , 34182.2 
64 , 57444.5 
43 , 38059.8 
34 , 19481.3 
26 , 19563.8 
48 , 38598.4 
35 , 20754.3 
24 , 13864.6 
47 , 36599.0 
52 , 45856.1 
31 , 22362.3 
41 , 21984.0 
23 , 11073.0 
27 , 18158.5 
22 , 7304.2 
67 , 58092.0 
26 , 16518.6 
58 , 46461.5 
27 , 20058.7 
36 , 12533.2 
31 , 22848.5 
28 , 25699.4 
57 , 21612.6 
64 , 48950.9 
49 , 41438.0 
22 , 11411.0 
58 , 43940.6 
20 , 17239.5 
44 , 30488.7 
65 , 29866.3 
53 , 32184.4 
34 , 17308.7 
35 , 27863.9 
48 , 28920.6 
64 , 58367.3 
46 , 16849.3 
42 , 28138.5 
47 , 23038.2 
23 , 11736.9 
35 , 16479.5 
64 , 31415.7 
18 , 12117.3 
19 , 15417.1 
40 , 29414.6 
47 , 44682.1 
43 , 36281.0 
38 , 33302.8 
21 , 15797.1 
40 , 31864.8 
52 , 43719.5 
35 , 30799.5 
53 , 48971.6 
38 , 34061.4 
42 , 28938.6 
43 , 38540.0 
59 , 27045.1 
59 , 51284.3 
24 , 16352.2 
27 , 11866.4 
32 , 13267.6 
65 , 61554.6 
18 , 13700.2 
66 , 46963.9 
41 , 23475.6 
64 , 24554.1 
23 , 18050.0 
29 , 15237.6 
28 , 20555.0 
57 , 28421.7 
38 , 21876.5 
34 , 12810.2 
43 , 15109.4 
63 , 37414.7 
62 , 41521.6 
51 , 25372.8 
61 , 21139.8 
41 , 27757.6 
31 , 22678.1 
33 , 12178.5 
43 , 26106.7 
40 , 27417.6 
47 , 23337.2 
46 , 43395.5 
30 , 11536.2 
47 , 44658.6 
44 , 32762.5 
23 , 16403.8 
28 , 21184.7 
64 , 49917.3 
35 , 21623.8 
19 , 16625.9 
27 , 14014.5 
27 , 20409.3 
58 , 31671.3 
46 , 17149.2 
61 , 27756.3 
59 , 40949.9 
47 , 43743.2 
44 , 38459.9 
50 , 40972.9 
64 , 46587.9 
51 , 43799.6 
46 , 18912.2 
39 , 27765.8 
58 , 33007.3 
32 , 26325.3 
22 , 15308.2 
63 , 59805.6 
35 , 28658.3 
59 , 23175.0 
22 , 11595.4 
60 , 50409.9 
23 , 11215.3 
29 , 13327.8 
44 , 16088.8 
63 , 43943.0 
25 , 14505.3 
37 , 33886.4 
48 , 16662.5 
35 , 20262.6 
51 , 33615.4 
27 , 22007.1 
56 , 28981.1 
38 , 12163.9 
36 , 17247.7 
27 , 12683.6 
34 , 16291.0 
44 , 18707.3 
43 , 19326.9 
32 , 14511.8 
21 , 10672.0 
30 , 25830.5 
55 , 43499.5 
64 , 59175.1 
36 , 27642.9 
59 , 30067.5 
60 , 29714.4 
27 , 13950.4 
29 , 10072.6 
53 , 37850.6 
61 , 57176.4 
43 , 38784.0 
19 , 10191.8 
48 , 21821.4 
39 , 37389.0 
32 , 14627.9 
63 , 48770.5 
46 , 21096.2 
40 , 36256.9 
27 , 15281.8 
22 , 9316.98 
42 , 20736.2 
58 , 52662.5 
23 , 8020.19 
58 , 32245.4 
45 , 41107.2 
49 , 39358.3 
67 , 36095.9 
20 , 7723.93 
43 , 18565.8 
41 , 25132.9 
38 , 31290.6 
67 , 24858.4 
40 , 16398.8 
25 , 23287.9 
57 , 50897.6 
32 , 22446.5 
44 , 23092.1 
30 , 24867.6 
43 , 22234.7 
19 , 17371.1 
37 , 29574.0 
49 , 17944.2 
49 , 33665.5 
40 , 36166.2 
33 , 27712.9 
39 , 22400.7 
43 , 28469.9 
37 , 30488.0 
24 , 19160.3 
62 , 45342.5 
18 , 6294.21 
47 , 25127.7 
63 , 51879.3 
20 , 12644.9 
46 , 21984.4 
47 , 29093.1 
33 , 23528.4 
20 , 9516.91 
20 , 18364.9 
43 , 31273.8 
58 , 49673.6 
29 , 12623.4 
25 , 23818.6 
40 , 31473.9 
48 , 20268.0 
65 , 51417.0 
59 , 30971.8 
61 , 47025.0 
30 , 9672.25 
31 , 15976.3 
29 , 14711.8 
38 , 26671.6 
